Speaker,Time,Date,Duration,Statement,Trimmed Statement,rac,gender,discriminat,bias,automat,cognitive,user,interact,deploy,data,algorithm,program,develop,process,societ,existing,histor,selection,measures
ICRC,11:06:56,2024-08-30,0:03:54,"Thank you, Mr. Chair. Good morning, colleagues. The ICRC welcomes this section which sets out concrete steps that states will need to take to be able to ensure that their development and use of laws will comply at all times with international law. Before I go on, it is not often that we get the chance to agree with the Russian Federation. So I would like to thank the Distinguished Colleague from Russia for making a proposal on paragraph 1 that rigorous testing should be in the context of real life operations. We could certainly support that improvement. Looking at the section as a whole, however, we think it needs some clarification to distinguish legal reviews from technical reviews of capabilities, effects, bias and so on. Both these kinds of reviews are important and indeed technical reviews would form a necessary component of any legal review. But we recommend that the group maintain a clear distinction between the two in order not to conflate existing obligations under international law with the technical reviews introduced in this text. Legal reviews are a critical measure to ensure that the employment of autonomous weapons systems will not be in violation of IHL and other applicable international law and are a legal obligation under additional protocol 1 to the Geneva Conventions. We therefore propose a new paragraph on legal reviews based on the agreed language of the GGE as has been recognized in the GGE's guiding principle E and included in the GGE's 2023 consensus report in paragraph 23 of that report. Furthermore, to make this paragraph of the most particular relevance to autonomous weapons systems and based on previous discussions in the GGE and the increased convergence on this subject, we propose to include the clarification that a new review is required once a weapon system is modified. So we would propose a new first paragraph that would introduce this section and would read as follows and we have provided this in writing to your team, Mr. Chair. It begins in accordance with the state's obligations under international law in the study, development, acquisition or adoption of any laws including laws that result from modifications of existing non-autonomous weapon systems, determination must be made whether its employment would in some or all circumstances be prohibited by international law. So that first paragraph would deal with the legal reviews. The following paragraphs would then refer more to the technical reviews and so we would then suggest deleting the phrase conduct legal reviews of laws to from the second paragraph. So paragraph 2 would then read states should understand the weapon's capabilities and limitations, expected circumstances of use and its anticipated effects in different circumstances. Finally, as we mentioned yesterday in the discussion on prohibitions and restrictions, we suggest placing here in this section the paragraph on training and instruction. So we recommend the group takes that paragraph from the previous section and add it as a new final paragraph here which would read states must ensure appropriate training and instruction for human users of laws. Thank you, Mr. Chair.","[...] The ICRC welcomes this section which sets out concrete steps that states will need to take to be able to ensure that their development and use of laws will comply at all times with international law.[...] Looking at the section as a whole, however, we think it needs some clarification to distinguish legal reviews from technical reviews of capabilities, effects, bias and so on. Both these kinds of reviews are important and indeed technical reviews would form a necessary component of any legal review. But we recommend that the group maintain a clear distinction between the two in order not to conflate existing obligations under international law with the technical reviews introduced in this text. Legal reviews are a critical measure to ensure that the employment of autonomous weapons systems will not be in violation of IHL and other applicable international law and are a legal obligation under additional protocol 1 to the Geneva Conventions.  [...]
",,,,x,,,,,,,,,x,,,,,,
BRAZIL,11:17:44,2024-08-30,0:02:40,"Thank you, Chair. The language of this section is quite a good basis for our discussions. We would have some minor some slight suggestions and amendments. First, turning to paragraph 1, like Austria, I think that the suggestion by the Russian Delegation is positive. Although I would believe that the best term I believe that the proposal was including in real operating environment. I believe that the best term would be realistic. Otherwise, we would probably be asking for testing evaluation to be done in real conflict situations which I do not think that would be the intention there. If that is the case, we welcome the proposal including in realistic operating environments. On paragraph 2, I believe that the proposals made by the ICRC and Austria in order to clarify that we also that there is also a need for legal reviews in case of further development of existing systems or changes to their algorithms. I think it is important. I would also propose that we include a reference to an encouragement to states to exchange experiences and best practices on criteria and procedures for such legal reviews. And finally, we would propose a new paragraph 4 BIS with a reference to technical standards. It would read states should consider developing technical standards that can serve as a reference for the development of laws with a view to promoting safety, security, integrity, and compliance with IHL requirements. I will send this to you, Mr. Chair, and to your team. This is tied to our working paper that we tabled last session, the last session earlier this year, highlighting the possible contribution to the work of the GGE of the IEEE standard for ethically driven robots and automation systems, IEEE 7007-2021. Thank you very much, Chair.","[...] On paragraph 2, I believe that the proposals made by the ICRC and Austria in order to clarify that we also that there is also a need for legal reviews in case of further development of existing systems or changes to their algorithms. I think it is important. I would also propose that we include a reference to an encouragement to states to exchange experiences and best practices on criteria and procedures for such legal reviews. [...]",x,,,,,,,,,,x,,x,,,,,,
IRELAND,11:36:12,2024-08-30,0:02:22,"Thank you, Chair. Thank you for all the work you and your team have done throughout the week. We would just like to echo support for the suggestions that have already been made by various Delegations on paragraph 1 in terms of addition of reference to real life operations which we think would bolster this section. We think there is definite merit in that. We would also support the suggestions put forward by the ICRC in terms of making sure we have clarity on the types of reviews we are referring to and we would also see merit in the additional paragraph that they have suggested for inclusion as well. We think that would be a welcome addition. Likewise, the Austrian suggestion on constant assessment and consideration of machine learning and reflection of any changes that may appear on first listen, this again is something that would have merits. We look forward to seeing that in writing and engaging on some formulation of that. Echo comments made by other Delegations on paragraph 3. We believe there is a need to strengthen the language here beyond mere detection as it is currently framed. In this vein, we would suggest consulting the joint working paper submitted in the previous session by Ireland and nine other states as already referenced by our colleague here from Panama and in particular the recommendations outlined in paragraph 11 of that working paper. Similarly, we would echo the comments by Panama, Austria and others on concerns with any qualifiers regarding bias which we would like to point out already has an inherent negative connotation at source. Similarly in paragraph 4, we believe something is required alongside reduced to strengthen this portion. We note the suggestion made a few minutes ago from Switzerland on seeking eradication as much as is possible. So this could be a basis moving forward. Similarly, we also think there is a potential to add mitigate to this list to further outline the steps that would be required. Likewise, we want to echo support for reference to important training and instruction as outlined in the suggestion to the ICRC. This is an important component to pursue and would bolster this section overall. Finally, at first listen, the Brazilian language proposals also merit consideration and possible pursuance. I believe this could be a basis for something that we could include and refine further. Thank you, Chair.","[...] Similarly, we would echo the comments by Panama, Austria and others on concerns with any qualifiers regarding bias which we would like to point out already has an inherent negative connotation at source. [...]
",,,,x,,,,,,,,,,,,,,,
COSTA RICA,11:44:11,2024-08-30,0:02:41,"Thank you, Chairperson. We will be brief. We want to support the ICRC's proposal to add a preparagraph to Paragraph 1 and we also wish to express support by what was said by Panama, Austria and Ireland in particular the need to specify testing as suggested by Brazil. There is a need to be more specific and perhaps require it to be carried out in conditions that are close to the real life environment. In Paragraph 3, we have listened attentively to the proposals to improve the paragraph. We believe this is one of the most important paragraphs from my Delegation that is the case and we believe that bias needs to be looked at more closely because Costa Rica is one of a large group of countries that have come together to prevent a working document seeking and we would wish to see more elements from that working document reflected in Paragraph 3. On Paragraph 4, we welcome the explanation from Panama. This does reflect the importance of a comprehensive approach to the topic before us. We are addressing obligations incumbent on all States' parties and we cannot limit our approach too much. We are speaking of erga omnes obligations as Panama has stated. So we need to amend this wording in Paragraph 4 and we would call for a more comprehensive approach in addressing this matter. Thank you.","[...] In Paragraph 3, we have listened attentively to the proposals to improve the paragraph. We believe this is one of the most important paragraphs from my Delegation that is the case and we believe that bias needs to be looked at more closely because Costa Rica is one of a large group of countries that have come together to prevent a working document seeking and we would wish to see more elements from that working document reflected in Paragraph 3. [...] ",,,,x,,,,,,,,,,,,,,,
CANADA,11:53:41,2024-08-30,0:01:19,"Thank you, Chair and good morning, colleagues. Just a few comments from my Delegation on this section. First on paragraph 1, we have no issues with the proposals made this morning regarding the addition of realistic scenarios or real life operations. On paragraph 2, we are also supportive of the recommendation that was made by another Delegation to add the encouragement of exchanges of best practices between states. On paragraph 3, which is very important to my Delegation and we wish to see more language pulled from the joint working paper on biases that was presented at the last GGE session in March, specifically from the recommendations outlined in paragraph 11. And finally, just to add, we are also supportive of adding or pulling down the paragraph on training from the earlier section as a paragraph 5 for this section. I thank you.","[...]On paragraph 3, which is very important to my Delegation and we wish to see more language pulled from the joint working paper on biases that was presented at the last GGE session in March, specifically from the recommendations outlined in paragraph 11.[...]",,,,x,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIAN FEDERATION,16:32:22,2024-03-04,0:07:00,"Thank you very much. Thank you very much, Distinguished President. At the outset, I would like to join my colleague from the Republic of Korea in expressing our gratitude for your attempt to prepare such a document, an attempt to consolidate the different views or opinions that were expressed by different Delegations during this work of the GGG that has been going on for quite some time, work related to definitions and characterizations of what we are discussing here. We would like to share with you our very preliminary considerations in connection with what we see on the screen because this is the first time we are looking at this document and it is the first time we are considering the proposals that are contained in the document. Of course, all of our discussions right now are really preliminary in their nature, very general, and we believe that the results of this discussion will require really serious further work back in capital by all Delegations. Now, our preliminary remarks on the bullet points that you are proposing, we fully realize that any attempt to bring different approaches together will in one way or another will lead us to a certain bias in favor of one concept, one notion or another one. Right now, as we see it, the notion of human control is taken as the main idea and, in fact, I would refer to meaningful human control and as well as also trying to come up with a definition through the critical functions of the system. Now, we do not fully share that approach. We believe that we should try to take a step-by-state approach as we try to agree on a definition of such systems. First, what we need to do is to define what types of weapon systems we are talking about. We discussed that for quite some time and our colleague from the Republic of Korea also referred to that fact when he tried to say that most likely we should be talking about lethal systems and we believe that we have to discuss this topic as well to discuss the topic of what type of weapon systems we are referring to. A second very important factor as we try to come up with such a definition relates to the objectives that these systems are pursuing and this refers first and foremost to the third and fourth bullet point. Here we see that there are certain objectives that are listed and we see that this is done in a very narrow manner, but in any case, we are ready to discuss these objectives that could be pursued by such systems that would fall under the definition of emerging technologies in the area of laws and third important point or factor and it relates to human control. We believe that we will be discussing the question of human control in a detailed fashion under the second agenda item that you have submitted to the GGE and in a very preliminary way we would like to say that we find that trying to identify the specific functions where human control will apply is something that is counterproductive and not really advisable because of the different views that Delegations have on that subject and also this relates to the factor of the responsibilities that states have in complying with their international obligations including in the area of IHL where there is a clear definition of the responsibility of states' parties for ensuring relevant human control related to the use of different weapons systems and this obviously refers to the entire life cycle of such weapons systems and that understanding if I am not mistaken is something that we agreed to on the basis of consensus as one of the guidelines and also as one of the conclusions that this GGE made in the past. Thank you."," [...] Now, our preliminary remarks on the bullet points that you are proposing, we fully realize that any attempt to bring different approaches together will in one way or another will lead us to a certain bias in favor of one concept, one notion or another one. Right now, as we see it, the notion of human control is taken as the main idea and, in fact, I would refer to meaningful human control and as well as also trying to come up with a definition through the critical functions of the system. [...] ",,,,x,,,,,,,,,,,,,,,
CUBA,17:17:34,2024-03-04,0:03:52,"Thank you, Chair. We as a country have a few ideas that we would like to share with everyone about this section on curiosity and restrictions and definitions. We will be addressing the ideas that have been presented on the screen later on. To begin, for our Delegation, an agreed upon characterization of autonomous weapons is very useful in order to fulfill the existing mandate, which is why we appreciate this approach. Our Delegation understands that this is an important issue and one that cannot be set aside. However, it cannot be used as a pretext either in order to avoid carrying out negotiations. Existing protocols within the Convention must be seen as good examples to follow. We believe that an exercise as the one we are currently engaged in with definitions and characterizations must consider completely autonomous weapons as well as semi -autonomous weapons. For our Delegation, autonomous weapons must be seen as those that act without human involvement once they are deployed. Semi -autonomous weapons for their part are to be understood as those that have human oversights, at least during the critical stages, that is for the selection and the attack of targets, as is found in the working document of our Delegation from 2016. Military drones among other weapons with certain level of autonomy that are already being used must also be considered as semi -autonomous weapons and ought to be effectively regulated. Seizing control, responsibility and human involvement in decisions on the use of force, algorithms and controlled processes online raise fundamental ethical issues. It is obvious for our Delegation that human involvement and oversight lie at the very core of future characterizations of these systems and they determine whether or not they can be developed or not in the first place and in the second, how they ought to be regulated. It is for these reasons that we believe that to reach common understandings as part of this exercise on concepts such as significant human involvement can also be most useful in our efforts. Turning now our comments to the proposals found on the screen, we would like to express our appreciation to you, your team and the Secretariat for having prepared them. Quite preliminarily we can say that we do see merits in the inclusion of this set of characterizations of the three following points. First, the critical functions of selection and attack of targets as these are a component of the characterization that we agree with in our national capacity. Secondly, apply force as a continuance of the previous idea and an important part of significant human intervention. Third, the notion of human intervention, which is important. We believe that keeping the human component is essential were we to consider other proposals such as an operator involvement. For our Delegation, it will be important to consider a potential characterization in the context of a whole host of elements of broader instruments or measures and bearing in mind that future regulations would take these characterizations into account. Thank you.","[...] Seizing control, responsibility and human involvement in decisions on the use of force, algorithms and controlled processes online raise fundamental ethical issues. It is obvious for our Delegation that human involvement and oversight lie at the very core of future characterizations of these systems and they determine whether or not they can be developed or not in the first place and in the second, how they ought to be regulated. [...]",x,,,,,,,,,,x,,,,,,,,
SWITZERLAND,12:05:20,2024-03-05,0:04:55,"Thank you, Mr. Chair. We just have a few observations, a few overall observations at this point. We are following the discussion closely and try to really understand the nuances that we are in now. But broadly speaking, we believe it is really absolutely key that we build on the work so far, build on the agreements that we have had past years. Autonomy is a spectrum, not an either / or and that should guide how we discuss today the points that are on the slide here. We also would join all others who would warn from overly restrictive approaches in general but also at this stage where we are in the debate. We like what the UK said a moment ago that actually what we are doing here is we are painting a picture based on which we then can base the regulation approach. I think the Austrian Delegation made a very good point also that a lot of the things here can be left for later. This is actually some of what we are talking about now. We can address separately further down when we talk about an instrument, when we talk about prohibitions and regulations. On these specific points on the slide, we quite like the Brazilian contribution, the degree in which a system can perform critical functions without human intervention. This picks up the critical functions. This picks up the discussion we had about human intervention. It reflects that it is not black or white. It is not an on and off. It is a differentiation that is needed. We would consider this dimension is really at the core of what we seek to capture in the context of this GG. In a self-sufficient or self-governing manner, these terms to us seem unnecessarily complicated. What if a system is not throughout self-sufficient but only in certain phases? A hypothetical example, what if another system, a system B, so to say, governs the autonomy of system A? We should not include overly complicated concepts here. The same applies with the notion about programming sensors and algorithms. That is a good description, good enumeration of things, but here we see the risk that we are looking at this in a cumulative manner. Does it really need to have all these components? We see, of course, an interest in qualifying the technology, but there is the risk that we may miss some systems that should fall under the instrument that we are talking about here. This is even more the case if we seek to have a characterization that can also stand the test of time. That was said a number of times also yesterday. We need to make sure this can develop with the technology over time. We must make sure that we do not exclude certain aspects, certain technological developments that we might not yet be aware of yet. This is a more general point, again, on the cumulative approach. We are really not quite sure. I think it is a good discussion that we should have this week, notably with the critical functions, whether we really need and, or to what extent engage as such is really the critical point. The others are, of course, also important, but we should maybe also at this stage as a working hypothesis also think of and / or approaches. As I said at the beginning, we are following very closely. These are really good discussions that help us getting clarity, conceptual clarity that is much needed on that point. Thank you so much.","[...] This picks up the critical functions. This picks up the discussion we had about human intervention. It reflects that it is not black or white. It is not an on and off. It is a differentiation that is needed. We would consider this dimension is really at the core of what we seek to capture in the context of this GG. In a self-sufficient or self-governing manner, these terms to us seem unnecessarily complicated. What if a system is not throughout self-sufficient but only in certain phases? A hypothetical example, what if another system, a system B, so to say, governs the autonomy of system A? We should not include overly complicated concepts here. The same applies with the notion about programming sensors and algorithms. That is a good description, good enumeration of things, but here we see the risk that we are looking at this in a cumulative manner. Does it really need to have all these components? We see, of course, an interest in qualifying the technology, but there is the risk that we may miss some systems that should fall under the instrument that we are talking about here. [...]",,,,,,,,,,,x,,,,,,,,
UNITED STATES,12:13:02,2024-03-05,0:10:11,"Thank you, Mr. Chair. Just wanted to provide my Delegation's reactions on this question, how could autonomy be described or explained? First, I just wanted to draw colleagues' attention to what I thought was a very good explanation by our colleague from PACS about autonomy. I hope colleagues heard it. It just these and other contributions from civil society really show the value of the GGE as an inclusive process with active participation by civil society, ICRC and others and I thought an excellent point that our colleague from PACS made was that autonomy can be understood as a way of using the system, that we are thinking about autonomy both as a capability that the system has, but it is also a way of using that capability and sometimes you could have a capability that is used one way and it is autonomous but used in another way, it is semi -autonomous or not fully autonomous. I think that is an important idea for us to keep in mind as we are thinking through this issue of how can autonomy be described or explained. In our response to you, Mr. Chair, with regard to this question, we said that in the context of weapon systems, autonomy can refer to the capability of the weapon system to perform various functions without human intervention. It can also refer to the way in which the system is used. In other words, the operator relying on the system to perform those functions without the operator performing them. Another way of putting that idea sort of more in line with the framing of your question, autonomy can be described or explained as a capability of the system and reliance upon that capability by an operator to perform a given function without operator intervention. Autonomy can be described or explained as a capability of a system and reliance upon that capability by an operator to perform a given function without operator intervention. So that is one way of thinking about that idea and trying to capture both dimensions of autonomy, both as a capability and as a way of using the system. Just some very specific reactions now to the bullets that you have assembled under this question. With regard to the first bullet of specific functions of weapon systems, we were struggling a bit to understand that we see autonomy as a general concept that can apply outside the context of weapon systems. So we see this more as a contextual element of this idea rather than as an explanation of what autonomy is. With regard to the second bullet, the capability to perform a given task, I think we would like to be more specific as we are trying to be precise and to sketch out an instrument that we think can guide states' behaviors. We want to be as precise as possible to reflect clear common understandings. So we would add in the notion of a system, the capability of a system to perform a given function. I think our preference would be for function rather than task because that is what our group has focused on and found consensus on is functions in systems. And then this notion of without operator intervention. And here it is similar to task, to language in the next bullet. You know, there's been some discussion is it better to have human intervention or operator intervention. We have tried to explain that we think operator intervention is more clear and we are excluding the possibility of people who are not the operator in question intervening and somehow affecting the operation of the system. From our perspective, the notion of human operator is redundant, right? We view operator as necessarily meaning human beings and usually in instruments we do not have the word human before every term that refers to a human being, but we just understand that instruments are referring to human beings. I think we are open to hearing more discussions about why people think human is necessary, but from our perspective that is already contained and superfluous to add. I did also want to just respond on the notion of critical functions again in this bullet. We have explained our comment previously, you know, this concept is a bit unclear. We appreciated the response from the Delegation of Brazil. It was very thoughtful and appreciated them trying to explain their thinking. One, I think, initial reaction to that in the spirit of interactivity is that it does not make sense from our perspective to put legal concepts inside the definition. We recommend that the definition or characteristics be as factual as possible so they can be as clear as possible so we know what we are talking about. If critical here means critical to compliance with IHL, then that is a very complex legal idea and, you know, to take the example that Brazil offered navigation, we actually think navigation could be very critical to compliance with IHL. A lot of systems will navigate to a particular area. A system might be used in an area constituting a military objective or certainly munitions can be directed against locations that are military objectives and so in that kind of usage, the notion of navigation which Brazil said would be excluded, you know, actually would be included from our perspective because it is relevant to IHL compliance. I think our perspective is more similar to what we are mentioning, the view that we thought Austrian colleagues were expecting. Let's deal with those substantive issues later but here let's just try and be factual and clear in what kind of systems are under discussion. With regard to the next bullet, subject to different degrees and types of human control, I think you know my Delegation's positions with regard to the terminology of human control, here, you know, we do not think that this is really an explanation of autonomy and, of course, you know, we do not want to endorse the notion that autonomy is necessarily the opposite of control or that autonomy leads to less control. In fact, as we have noted before, autonomous functions can assist the operator in controlling the effects of the weapons system better than without such capabilities. With regard to the next bullet, in a self-sufficient or self-governing manner, here, you know, we did not embrace this terminology. You know, from our perspective, it seemed somewhat inconsistent with our guiding principle of not anthropomorphizing machines. We need to be careful not to say that machines are people, you know, so self-governing to us sounded more like what people do rather than machines. And then lastly, you know, with regard to the last bullet, programming sensors and algorithms, you know, I think as a first note, the antecedent of the word "" its "" in this bullet is somewhat unclear because it does not refer to anything else prior in the sentence. And then, you know, I think we would regard programming sensors and algorithms as technical components, but they do not necessarily explain autonomy. In our view, autonomy is how these components form a capability and how that capability is used. But not necessarily these kind of technical pieces. And then lastly, just with regard to algorithming pardon me, algorithms and programming, we see algorithms as part of programming and so would question why those are set out as distinct. I thank you, Mr. Chair.","[...] And then lastly, you know, with regard to the last bullet, programming sensors and algorithms, you know, I think as a first note, the antecedent of the word "" its "" in this bullet is somewhat unclear because it does not refer to anything else prior in the sentence. And then, you know, I think we would regard programming sensors and algorithms as technical components, but they do not necessarily explain autonomy. In our view, autonomy is how these components form a capability and how that capability is used. But not necessarily these kind of technical pieces. And then lastly, just with regard to algorithming pardon me, algorithms and programming, we see algorithms as part of programming and so would question why those are set out as distinct. [...]
",,,,,,,,,,,x,,,,,,,,
HOLY SEE,10:57:49,2024-08-26,0:03:09,"Mr. Chair, at the outset, please allow me to thank you for all the preparatory work that you have conducted in advance of the second session of the GGE. In particular, this Delegation wishes to thank you for the rolling text that you have provided, which constitutes a valuable foundation upon which to build the shared understanding. Speaking to the G7 leaders gathered in Italy last June, Pope Francis urged to reconsider the development and use of devices like the so-called lethal autonomous weapons and ultimately ban their use. This starts from an effective and concrete commitment to introduce even greater and proper human control. No machine should ever choose to take the life of a human being. For the Holy See, given the pace of technological advancements and the research on weaponization of AI, it is of the utmost urgency to deliver concrete results in the form of a solid legally binding instrument and in the meantime to establish an immediate moratorium on their development and use. In this regard, it is profoundly distressing that adding to the suffering caused by armed conflicts, the battlefields are also becoming testing grounds for more and more sophisticated weapons. Mr. Chair, this Delegation appreciates the references to both appropriate control and human judgment in your rolling text, although we would welcome more clarity and common understanding of these terms. In this regard, it is useful to recall the difference between a choice and a decision. While pointing out that machines merely produce technical algorithmic choices, Pope Francis recalled that human beings, however, not only choose but in their hearts are capable of deciding. A decision is what we might call a more strategic element of a choice and demands a practical evaluation. Moreover, an ethical decision is one that takes into account not only an action's outcomes but also the values at stake and the duties that derive from those values. Mr. Chair, the Holy See deems it of fundamental importance to retain references to human dignity and ethical considerations at the core of our deliberations. It is necessary to ensure and safeguard a space for proper human control over the choices made by AI programs. Human dignity itself depends on it. In this regard, this Delegation welcomes the prominent role given to ethical consideration at the recent conference, humanity at a crossroad, which was held in Vienna on 29/30, April 2024. These and other similar conferences on the same subject are further indication of an ever-growing awareness of the ethical concerns raised by the weaponization of AI. Such public awareness represents a remarkable ever-growing conscience public that cannot be ignored. In conclusion, the development of ever more sophisticated weapons is certainly not the solution. The undoubted benefits that humanity will be able to draw from current technological progress will depend on the degree to which such progress is accompanied by adequate development or responsibility and values that place technological advancement at the service of integral human development and of the common good. Thank you, Mr. Chair.","[...] Mr. Chair, this Delegation appreciates the references to both appropriate control and human judgment in your rolling text, although we would welcome more clarity and common understanding of these terms. In this regard, it is useful to recall the difference between a choice and a decision. While pointing out that machines merely produce technical algorithmic choices, Pope Francis recalled that human beings, however, not only choose but in their hearts are capable of deciding. A decision is what we might call a more strategic element of a choice and demands a practical evaluation. Moreover, an ethical decision is one that takes into account not only an action's outcomes but also the values at stake and the duties that derive from those values. [...]",x,,,,,,,,,,x,,,,,,,,
FUTURE OF LIFE INSTITUTE,12:41:57,2024-08-26,0:02:20,"The Future of Life Institute thanks you for your continued leadership of this group and we equally commend the work of the Secretariat in facilitating and informing our work. Over the past year we are seeing unprecedented acceleration in the development, sale and use of autonomous weapons. While these weapons remain unregulated, civilians bear the brunt of their use. Momentum towards regulation has never been higher as we saw the ECOWAS Conference in Sierra Leone and the convening of 144 states at Austria's Humanity at the Crossroads Conference. We commend the demonstration of leadership on this issue and in this vein we encourage states to continue to associate with the Austrian Chair's summary as a signal to demonstrate global convergence in support of a legally binding instrument. Despite the complexities that emerge when considering using AI to inflict violence, some simple facts remain. The vast majority of citizens are horrified by autonomous weapons and do not want to see algorithms make the decision to kill. These sentiments were reflected in the recent calls from Pope Francis to the G7 on autonomous weapons. We are highly encouraged by the input and conclusions from the Secretary General's report. The messages are clear. Time is running out to stem the harmful effects of weapons that continue to be politically unacceptable and morally repugnant. We share the Secretary General's call to states to utilize all forums available to regulate autonomous weapons, in particular the UN General Assembly as an appropriate forum to address all risks posed by autonomous weapons in a comprehensive manner. Allowing more states to participate in these discussions can only help to represent all voices and perspectives. We share the Secretary General's conclusions that autonomous weapons present risks that extend beyond IHL. Ignoring these elements would risk working with a severely incomplete understanding of how these weapons will impact society. This work is not easy and we at the Future of Life Institute would like to assist states and civil society alike. For this reason we have produced the Diplomats' Guide to Autonomous Weapon Systems for those new to the subject and equally for those well versed. We thank you. We remain engaged and committed to engage with states to safeguard international peace and security and set strong norms surrounding life and death decisions. Thank you. Let me thank you for your intervention.",The vast majority of citizens are horrified by autonomous weapons and do not want to see algorithms make the decision to kill. ,,,,,,,,,,,x,,,,,,,,
UNIVERSITY OF CAMBRIDGE,11:55:15,2024-08-30,0:05:02,"Since this is my first time taking the floor since you took this role, I would like to congratulate you and thank you and the rest of the Secretariat for their hard work and support. We all know it is no easy feat. On testing and evaluation and review, I would remind us all that additional protocol 1's Article 57.1 provides that constant care must be taken. It might serve us to refer to the 2018 CCW Report in which 23A stated, "" Humans must at all times remain accountable in accordance with applicable international law for decisions on the use of force, "" and 23C, "" Weapons systems under development or modification which significantly changes the use of the existing weapons systems must be reviewed as applicable to ensure compliance with IHL. "" The current text before us, as mentioned by many, lacks the sufficient provision for such dynamic systems which might alter post-deployment behavior. My colleague at ENCODE Justice earlier this week mentioned the issue of decay which we might refer to as AI aging or degradation. AI systems in particular are dynamic, not static, and susceptible to AI aging immediately upon deployment. Indeed, a recent study found that 91 % of machine learning models degrade in time. Post-deployment data drift is a good example of environmental data gathered by field centers, altering post-deployment object recognition by gradually introducing a missing class into the data stream. Gradual drift is notoriously hard to detect. Meanwhile, change detection tools programmed within the system cannot resolve change once detected, creating techno legal issues. Repeated testing is therefore required for alignment with command and control intent and IHL. I was lucky to assess a month or two ago a taxonomy of AI risk produced by MIT which I believe is to be published as we speak if not before. It showed the 10 % AI risk factor across multi-sector domains increased to a 65 % AI risk profile post-deployment. We know that when it comes to military use, risk factors are implicitly higher due to the chaotic environments involved. I would remind the room that even the most convincing test results of a system can be flawed from reward hacking which sees systems bypass necessary training steps to achieve optimum outcomes in their training, misdirecting the user or failing to encode vital compliance steps to full on deception. META's Cicero and DeepMind's AlphaStar exhibited AI systems engaging in premeditated deception. Where META's creators intended their game diplomacy to behave honestly, in fact, and I quote, it not only betrayed other players but also engaged in premeditated deception, planning in advance to build a fake alliance with a human player in order to trick that player into leaving themselves undefended for an attack. I would alert you to the fact that there is recent alarm over the fact that as a University of Oxford team found, and yes, we constantly refer to each other's work, that using AI generated data sets to train future models may generate nonsense, a concept known as model collapse. I would alert you to the fact that, and this is rarely talked about, a human team achieved a more than 97 % win rate against the much celebrated AI system Catago running at its super human settings. Their adversarial policy did not beat it by playing go well. It beat it by tricking Catago into making simple but serious mistakes. Let's not forget environment misrepresentation created by sensor degradation in the field would change a system's analysis and response, not to mention that transference to nondesignated environments might render a technology utterly noncompliant. I bring these examples to remind us that the provision of testing and evaluation and review language alone would be woefully inadequate without the qualifiers which have been mentioned before, such as ongoing or continual. For those concerned about the scope of such language, this could be qualified using the 2018 language to be associated specifically with dynamic systems using weapon systems under development or modification which significantly changes the use of existing weapon systems must be continually reviewed. I may refer back with some separate comments on bias if you will indulge me. Thank you.","[...] I bring these examples to remind us that the provision of testing and evaluation and review language alone would be woefully inadequate without the qualifiers which have been mentioned before, such as ongoing or continual. For those concerned about the scope of such language, this could be qualified using the 2018 language to be associated specifically with dynamic systems using weapon systems under development or modification which significantly changes the use of existing weapon systems must be continually reviewed. I may refer back with some separate comments on bias if you will indulge me. [...]",,,,x,,,,,,,,,,,,,,,
